UniqueCount	AmbigCount
0	35764650
0	20955899
0	5067477
0	29970
0	50290
0	3135255
0	6152
0	622
0	129
0	32
0	363
0	28
0	15
0	6
0	94
0	252
0	217
0	480
0	119
0	46
0	845
0	1
0	8
0	4
0	10
0	101
0	0
0	262
0	0
0	9
0	36
0	0
0	13
0	0
0	9
0	159
0	22
0	158
0	1
0	312
0	0
0	35
0	71
0	0
0	45
0	3
0	84
0	1
0	0
0	8
0	1
0	2
0	6
0	25
0	0
0	0
0	3
0	275
0	6
0	211
0	1
0	0
0	6
0	482
0	1
0	82
0	21
0	25
0	1
0	251
0	222
0	0
0	0
0	2
0	3
0	1
0	12
0	2
0	21
0	17
0	0
0	0
0	7
0	0
0	0
0	57
0	0
0	0
0	279
0	238
0	0
0	3
0	0
0	0
0	10
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	217
0	11
0	39
0	0
0	19
0	2405
0	27
0	0
0	0
0	142
0	169
0	54
0	7
0	1
0	0
0	155
0	8
0	0
0	0
0	70
0	28
0	88
0	0
0	227
0	2
0	84
0	4
0	19
0	0
0	0
0	109
0	5
0	881
0	0
0	0
0	32
0	0
0	114
0	78
0	1121
0	2
0	25
0	1
0	0
0	0
0	1
0	2
0	90
0	82
0	11
0	0
0	215
0	229
0	65
0	2
0	54
0	0
0	1
0	39
0	0
0	0
0	2
0	122
0	13
0	113
0	10
0	0
0	0
0	0
0	74
0	386
0	908
0	0
0	0
0	0
0	38
0	5
0	188
0	206
0	14
0	513
0	240
0	141
0	14
0	62
0	0
0	22
0	86
0	112
0	0
0	21
0	4425
0	161
0	0
0	53
0	91
0	148
0	28
0	21
0	1
0	6
0	2
0	0
0	20
0	28
0	3
0	557
0	1052
0	0
0	4
0	4
0	57
0	84
0	2
0	0
0	14
0	22
0	40
0	14
0	1
0	98
0	44
0	326
0	36
0	10
0	387
0	0
0	34
0	0
0	0
0	0
0	0
0	0
0	15
0	0
0	29
0	207
0	3
0	1072
0	1
0	6
0	158
0	494
0	1
0	0
0	113
0	14
0	0
0	20
0	228
0	275
0	0
0	119
0	0
0	0
0	1
0	5
0	0
0	41
0	11
0	30
0	30
0	0
0	0
0	0
0	0
0	99
0	5
0	269
0	14
0	0
0	7
0	22
0	261
0	1
0	11
0	31
0	33
0	64
0	18
0	231
0	65
0	418
0	60
0	23
0	0
0	0
0	20
0	35
0	824
0	1
0	0
0	3
0	8
0	36
0	0
0	15
0	25
0	23
0	16
0	136
0	0
0	290
0	5
0	1
0	0
0	24
0	0
0	2
0	18
0	0
0	221
0	20
0	26
0	0
0	75
0	179
0	1
0	0
0	67
0	0
0	30
0	173
0	36
0	40
0	0
0	6
0	11
0	1
0	1
0	0
0	0
0	66
0	114
0	12
0	2
0	4
0	0
0	84
0	0
0	0
0	403
0	55
0	0
0	51
0	633
0	9392
0	135
0	336
0	64
0	1
0	0
0	0
0	178
0	62
0	5
0	25
0	0
0	3
0	3
0	11
0	0
0	56
0	3
0	43
0	0
0	15
0	8
0	0
