date	block	topic	instructor	title
2023-08-28T00:00:00Z	Bootcamp	R	Hesselberth	Intro to RStudio & R
2023-08-29T00:00:00Z	Bootcamp	R	Hesselberth	Tidy data & tidyr
2023-08-30T00:00:00Z	Bootcamp	R	Hesselberth	dplyr
2023-08-31T00:00:00Z	Bootcamp	R	Hesselberth	ggplot2
2023-09-01T00:00:00Z	Bootcamp	R	Hesselberth	ggplot2
2023-09-04T00:00:00Z	NA	NA	NA	NO CLASS: LABOR DAY
2023-09-05T00:00:00Z	Bootcamp	R	Hesselberth	dplyr
2023-09-06T00:00:00Z	Bootcamp	R	Hesselberth	putting it all together
2023-09-07T00:00:00Z	Bootcamp	R	Hesselberth	putting it all together
2023-09-08T00:00:00Z	Bootcamp	Statistics	Mukherjee	stats intro and history
2023-09-11T00:00:00Z	Bootcamp	Statistics	Mukherjee	probability and descriptive stats
2023-09-12T00:00:00Z	Bootcamp	Statistics	Mukherjee	hypothesis testing
2023-09-13T00:00:00Z	Bootcamp	Statistics	Mukherjee	hypothesis testing
2023-09-14T00:00:00Z	Bootcamp	Statistics	Mukherjee	regression
2023-09-15T00:00:00Z	Bootcamp	Statistics	Mukherjee	large data concerns
2023-09-18T00:00:00Z	DNA	DNA-seq Overview	Hesselberth	NA
2023-09-20T00:00:00Z	DNA	ChIP-seq	Hesselberth	NA
2023-09-22T00:00:00Z	DNA	ChIP-seq	Hesselberth	NA
2023-09-25T00:00:00Z	DNA	Chromatin Accessibility	Hesselberth	NA
2023-09-27T00:00:00Z	DNA	Chromatin Accessibility	Hesselberth	NA
2023-09-29T00:00:00Z	DNA	Vignette	Hesselberth	NA
2023-10-02T00:00:00Z	RNA	RNA-seq Overview	Mukherjee	NA
2023-10-04T00:00:00Z	RNA	Differential Gene Expression	Mukherjee	NA
2023-10-06T00:00:00Z	RNA	Differential Gene Expression	Mukherjee	NA
2023-10-09T00:00:00Z	RNA	Alternative Splicing	Mukherjee	NA
2023-10-11T00:00:00Z	RNA	Vignette	Mukherjee	NA
2023-10-13T00:00:00Z	NA	NA	NA	NO CLASS: CSDV RETREAT
2023-10-16T00:00:00Z	RNA	RBP	Mukherjee	NA
2023-10-18T00:00:00Z	RNA	RBP	Mukherjee	NA
2023-10-20T00:00:00Z	RNA	Long-read sequencing	Hesselberth	NA
2023-10-23T00:00:00Z	RNA	Single-cell	Riemondy	NA
2023-10-25T00:00:00Z	RNA	Single-cell	Riemondy	NA
2023-10-27T00:00:00Z	NA	NA	NA	NO CLASS: MOLB RETREAT
2023-10-30T00:00:00Z	Final	NA	NA	Final project presentations
2023-11-01T00:00:00Z	Final	NA	NA	Final project presentations
